"End of Period","Credit Number","Region","Country / Economy Code","Country / Economy","Borrower","Credit Status","Service Charge Rate","Currency of Commitment","Project ID","Project Name","Original Principal Amount (US$)","Cancelled Amount (US$)","Undisbursed Amount (US$)","Disbursed Amount (US$)","Repaid to IDA (US$)","Due to IDA (US$)","Exchange Adjustment (US$)","Borrowers Obligation (US$)","Sold 3rd Party (US$)","Repaid 3rd Party (US$)","Due 3rd Party (US$)","Credits Held (US$)","First Repayment Date","Last Repayment Date","Agreement Signing Date","Board Approval Date","Effective Date (Most Recent)","Closed Date (Most Recent)","Last Disbursement Date"
"2024-09-30","IDA18441","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002939","ECONOMIC RECOVERY CR.","1700000","0","0","1629862","1889102.32","0","0","0","0","0","0","0","1997-11-15","2027-05-15","1989-03-31","1989-03-13","1989-05-11","1990-03-31","1989-07-05"
"2024-09-30","IDA18442","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002939","ECONOMIC RECOVERY CR.","25000000","0","0","24425261.03","27609956.64","0","0","0","0","0","0","0","1997-11-15","2027-05-15","1989-04-26","1989-04-20","1989-05-11","1992-03-31","1992-03-04"
"2024-09-30","IDA18443","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002939","ECONOMIC RECOVERY CR.","1500000","0","0","1588285.51","1743813.88","0","0","0","0","0","0","0","1997-11-15","2027-05-15","1989-11-27","1989-10-12","1990-01-03","1991-06-30","1992-06-14"
"2024-09-30","IDA18690","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002948","SWEST AG REHAB","10000000","714430.29","0","10077401.37","10259057.81","-0.01","0","-0.01","0","0","0","-0.01","1998-04-15","2027-10-15","1988-02-09","1988-01-12","1988-08-26","1996-02-29","1996-07-23"
"2024-09-30","IDA18930","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002921","SUGAR REHAB.","24900000","216138.34","0","26542002.39","27265139.03","-0.01","0","-0.01","0","0","0","-0.01","1998-09-15","2028-03-15","1988-05-11","1988-03-31","1988-10-07","1995-03-31","1995-11-06"
"2024-09-30","IDA19340","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002950","FIRST HEALTH","42500000","2637638.92","0","40479477.97","42054738.77","0","0","0","0","0","0","0","1998-12-01","2028-06-01","1988-07-11","1988-06-23","1988-12-09","1996-03-31","1996-09-25"
"2024-09-30","IDA19510","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002945","T.A. III","18000000","0","0","18983013.86","20089251.6","0","0","0","0","0","0","0","1999-02-15","2028-08-15","1988-11-14","1988-08-23","1989-05-11","1995-12-31","1994-05-26"
"2024-09-30","IDA19620","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002954","PUBLIC ENTERPRISES","15000000","3091737.54","0","12725071.06","13520836.1","-0.02","0","-0.02","0","0","0","-0.02","1999-04-15","2028-10-15","1988-12-02","1988-11-08","1989-05-11","1995-05-31","1995-08-30"
"2024-09-30","IDA19650","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002931","EDUC.IV","22000000","6682280.49","0","15804678.96","17337309.81","0","0","0","0","0","0","0","1999-05-15","2028-11-15","1988-12-09","1988-11-15","1989-05-12","1994-06-30","1994-10-12"
"2024-09-30","IDA19860","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002961","RAILWAYS I","7000000","1398446.43","0","5772972.57","6062915.66","-0.05","0","-0.05","0","0","0","-0.05","1999-08-01","2029-02-01","1989-03-10","1989-02-21","1989-11-08","1993-06-30","1993-11-16"
"2024-09-30","IDA19910","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002920","TELEC.II","52300000","2551225.76","0","50999684.48","53114245.18","0.05","0","0.05","0","0","0","0.05","1999-07-15","2029-01-15","1989-12-20","1989-03-14","1990-06-05","1995-12-31","1996-04-24"
"2024-09-30","IDA20870","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002949","ECONOMIC RECOVERY II","125000000","0","0","133314431.37","143126322.53","0","0","0","0","0","0","0","2000-06-01","2029-12-01","1990-02-08","1990-02-01","1990-02-20","1993-06-30","1993-10-28"
"2024-09-30","IDA20871","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002949","ECONOMIC RECOVERY II","2000000","0","0","2010958.38","2188467.73","0","0","0","0","0","0","0","2000-06-01","2029-12-01","1990-11-07","1990-11-06","1990-12-05","1991-11-07","1991-05-21"
"2024-09-30","IDA20872","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002949","ECONOMIC RECOVERY II","1600000","0","0","1667177.55","1750773.98","0","0","0","0","0","0","0","2000-06-01","2029-12-01","1992-01-09","1991-11-26","1992-10-08","1993-01-09","1993-02-09"
"2024-09-30","IDA20880","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002966","POVERTY & SOC COSTS","28000000","83464.16","0","31071601.72","31982329.99","0","0","0","0","0","0","0","2000-02-01","2029-08-01","1990-02-08","1990-02-01","1990-06-29","1995-09-30","1996-09-11"
"2024-09-30","IDA21240","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002969","WATER SUPPLY II","60000000","24140.06","0","64064014.57","65788278.72","-0.01","0","-0.01","0","0","0","-0.01","2000-08-01","2030-02-01","1990-04-24","1990-04-12","1991-01-23","1998-06-30","1999-02-25"
"2024-09-30","IDA21760","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002930","LIVESTOCK","21000000","3700409.78","0","18780568.37","19369370.42","0.01","0","0.01","0","0","0","0.01","2000-12-01","2030-06-01","1990-11-07","1990-09-11","1991-11-04","1998-09-30","1999-06-24"
"2024-09-30","IDA21900","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002960","AG SECTOR ADJ CREDIT","100000000","1653823.01","0","97028257.61","99837875.39","0.01","0","0.01","0","0","0","0.01","2001-04-15","2030-10-15","1990-12-19","1990-12-13","1991-01-03","1996-12-31","1997-09-23"
"2024-09-30","IDA22060","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002933","URBAN I","28700000","339647.92","0","29075247.07","29877571.98","-0.01","0","-0.01","0","0","0","-0.01","2001-04-15","2030-10-15","1991-03-12","1991-01-22","1991-11-11","2000-06-30","2001-01-12"
"2024-09-30","IDA22680","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002929","UG POWER III","125000000","34689.56","0","121153927.06","127084363.13","-0.03","0","-0.03","0","0","0","-0.03","2001-08-15","2031-02-15","1992-01-09","1991-06-13","1992-10-08","2001-12-31","2002-06-18"
"2024-09-30","IDA22681","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002929","UG POWER III","33000000","7851572.7","0","23743448.04","26722226.97","0","0","0","0","0","0","0","2001-08-15","2031-02-15","2000-02-22","2000-01-20","2000-03-21","2001-12-31","2002-04-30"
"2024-09-30","IDA23140","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002947","SAC I","125000000","0","0","129927007.94","134566563.71","0","0","0","0","0","0","0","2002-03-01","2031-09-01","1991-12-12","1991-12-03","1992-01-03","1994-07-31","1994-09-28"
"2024-09-30","IDA23141","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002947","SAC I","1400000","0","0","1374246.4","1478914.29","0.02","0","0.02","0","0","0","0.02","2002-03-01","2031-09-01","1993-01-08","1992-12-23","1993-02-05","1994-01-08","1993-02-09"
"2024-09-30","IDA23150","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002968","ENTERPRISE DEVELOPMENT","65600000","24240118.29","0","43628365.46","45530101.42","-0.04","0","-0.04","0","0","0","-0.04","2002-03-15","2031-09-15","1992-01-09","1991-12-03","1992-09-17","2000-06-30","2001-02-14"
"2024-09-30","IDA23620","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002981","Northern Uganda Social Action Fund","71200000","0","0","74452277.03","76125631.28","0","0","0","0","0","0","0","2002-10-01","2032-04-01","1992-06-12","1992-05-05","1992-12-09","1998-09-30","1999-03-05"
"2024-09-30","IDA24180","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002975","ECON & FINANCIAL MAN","29000000","1653.1","0","30330216.26","31093861.36","0.02","0","0.02","0","0","0","0.02","2002-10-01","2032-04-01","1992-09-22","1992-08-04","1992-10-26","1999-06-30","1999-10-14"
"2024-09-30","IDA24240","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002991","UG:AGRIC. EXTENSION PROGRAM","15790000","122615.95","0","15601801.85","16022708.03","-0.01","0","-0.01","0","0","0","-0.01","2003-03-01","2032-09-01","1993-03-26","1992-09-29","1993-06-18","1998-12-31","1999-07-27"
