"End of Period","Credit Number","Region","Country / Economy Code","Country / Economy","Borrower","Credit Status","Service Charge Rate","Currency of Commitment","Project ID"
2024-09-30,"IDA3064A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P057007"
2024-09-30,"IDA31150","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002941"
2024-09-30,"IDA32030","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P059223"
2024-09-30,"IDA3203A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P059223"
2024-09-30,"IDA32040","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P059127"
2024-09-30,"IDA32041","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P059127"
2024-09-30,"IDA3204A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P059127"
2024-09-30,"IDA32270","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Cancelled",0.75,"XDR","P044213"
2024-09-30,"IDA32670","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P002970"
2024-09-30,"IDA3267A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002970"
2024-09-30,"IDA32950","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P002992"
2024-09-30,"IDA3295A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002992"
2024-09-30,"IDA32970","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P044679"
2024-09-30,"IDA32971","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P044679"
2024-09-30,"IDA3297A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P044679"
2024-09-30,"IDA34110","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P050439"
2024-09-30,"IDA3411A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P050439"
2024-09-30,"IDA34590","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P072482"
2024-09-30,"IDA3459A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P072482"
2024-09-30,"IDA34630","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P044695"
2024-09-30,"IDA3463A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P044695"
2024-09-30,"IDA34770","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P073089"
2024-09-30,"IDA3477A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P073089"
2024-09-30,"IDA34890","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P070627"
2024-09-30,"IDA3489A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P070627"
2024-09-30,"IDA35100","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P050438"
2024-09-30,"IDA35440","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P065436"
2024-09-30,"IDA3544A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P065436"
2024-09-30,"IDA35450","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P002984"
2024-09-30,"IDA3545A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002984"
2024-09-30,"IDA35880","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P069996"
2024-09-30,"IDA3588A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P069996"
2024-09-30,"IDA36240","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P074078"
2024-09-30,"IDA3624A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P074078"
2024-09-30,"IDA36900","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P065437"
2024-09-30,"IDA3690A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P065437"
2024-09-30,"IDA36960","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P073671"
2024-09-30,"IDA36970","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P002952"
2024-09-30,"IDA3697A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002952"
2024-09-30,"IDA37730","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P077477"
2024-09-30,"IDA3773A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P077477"
2024-09-30,"IDA38350","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P079925"
2024-09-30,"IDA39750","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P083809"
2024-09-30,"IDA39760","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P074079"
2024-09-30,"IDA41420","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P090881"
2024-09-30,"IDA41470","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P079734"
2024-09-30,"IDA41740","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P086513"
2024-09-30,"IDA41990","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P050440"
2024-09-30,"IDA42960","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P090219"
2024-09-30,"IDA42970","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P069208"
2024-09-30,"IDA43670","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P078382"
2024-09-30,"IDA43720","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P090867"
2024-09-30,"IDA44310","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P101231"
2024-09-30,"IDA44820","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P110207"
2024-09-30,"IDA45040","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P073089"
2024-09-30,"IDA45170","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P079925"
2024-09-30,"IDA45310","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P100406"
2024-09-30,"IDA45540","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P112334"
2024-09-30,"IDA45700","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P110803"
2024-09-30,"IDA46260","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P111633"
2024-09-30,"IDA46720","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P112688"
2024-09-30,"IDA46790","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P092837"
2024-09-30,"IDA47330","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P111556"
2024-09-30,"IDA47420","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P115563"
2024-09-30,"IDA47690","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P109224"
2024-09-30,"IDA48140","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P101232"
2024-09-30,"IDA49490","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Cancelled",0.75,"XDR","P092837"
2024-09-30,"IDA49880","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P119737"
2024-09-30,"IDA49890","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P117979"
2024-09-30,"IDA50610","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P097325"
2024-09-30,"IDA51270","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P123204"
2024-09-30,"IDA52230","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying",0.75,"XDR","P117876"
2024-09-30,"IDA52340","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P112334"
2024-09-30,"IDA52690","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P130471"
2024-09-30,"IDA53840","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying",0.75,"XDR","P133590"
2024-09-30,"IDA53850","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P129408"
2024-09-30,"IDA54060","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P145101"
2024-09-30,"IDA54340","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying",0.75,"XDR","P125590"
2024-09-30,"IDA56110","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying",0.75,"XDR","P145037"
2024-09-30,"IDA56120","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P145309"
2024-09-30,"IDA56150","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P111556"
2024-09-30,"IDA56350","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P130871"
2024-09-30,"IDA56450","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P149965"
2024-09-30,"IDA56530","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P133312"
2024-09-30,"IDA57220","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P151083"
2024-09-30,"IDA57970","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P151847"
2024-09-30,"IDA58080","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying",0.75,"XDR","P133305"
